throw_id,team_id,fielder_id,fielder_position,thrower_id,thrower_position,receiver_id,receiver_position,exchange_time,throw_pos_x,throw_pos_y,throw_velo_x,throw_velo_y,throw_velo_z,batter_pos_x_at_throw,batter_pos_y_at_throw,batter_velo_at_throw,bounce_pos_x,bounce_pos_y,bounce_velo_x,bounce_velo_y,bounce_velo_z,receiver_pos_x,receiver_pos_y,receiver_dist_from_1b,throw_deflected_by_receiver,start_state,end_state,runs_on_play,batter_result
29902,3,75,5,75,5,816,3,0.667,-17.85130999,113.3410259,57.60129789,-33.28779628,12.06515985,27.39991338,26.59065402,24.52670947,NA,NA,NA,NA,NA,62.12030543,63.67672685,1.519758188,0,____1,____2,0,out
29903,9,73,1,73,1,403,3,1.566,24.04699816,57.28795815,24.58706873,3.972142292,13.54044598,16.44905252,16.76789295,21.31584584,NA,NA,NA,NA,NA,62.06665094,64.21084883,1.673473822,0,____2,____3,0,out
29908,9,269,6,269,6,403,3,0.966,8.84512447,110.9827452,62.41880324,-53.87140604,3.59036764,43.36227404,43.26497055,26.72613712,NA,NA,NA,NA,NA,61.41054665,62.97027872,2.327386851,0,____1,____2,0,out
29909,9,269,6,269,6,403,3,1.633,-20.99259891,124.8641555,63.05762257,-43.98380427,5.87955106,28.67580909,31.06777871,20.55893345,NA,NA,NA,NA,NA,61.38254396,62.92827255,2.36650584,0,_2__0,_2__1,0,out
29910,3,526,4,526,4,816,3,0.634,51.52352756,99.59882378,7.543222216,-40.93209711,7.487780829,30.38958733,30.85215922,25.23383964,NA,NA,NA,NA,NA,60.24804063,64.22573766,3.441844001,0,1_3_0,_2__1,1,out
29911,9,109,5,109,5,403,3,0.734,-33.02728814,70.55080176,73.74031447,-4.385196529,6.678385586,33.97413685,32.02197778,24.99149153,NA,NA,NA,NA,NA,60.86523343,62.1768074,3.136392741,0,____0,____1,0,out
29912,9,269,6,269,6,403,3,2,-19.60851512,134.4340719,58.6218916,-48.53236201,6.550823586,20.08177135,19.1585588,18.31741777,NA,NA,NA,NA,NA,61.68323385,63.08929063,2.032304251,0,____1,____2,0,out
29913,9,109,5,109,5,403,3,1.633,-44.77745456,106.8263024,67.53068492,-23.49957495,8.845883211,30.42840872,32.00704492,24.97749039,NA,NA,NA,NA,NA,60.15621832,63.03086509,3.536183042,0,____0,____1,0,out
29914,3,16,6,16,6,816,3,0.966,18.60066519,108.7624172,46.33900558,-49.27125316,8.563925021,35.96829468,28.37093105,27.55234952,NA,NA,NA,NA,NA,60.61969555,63.75441095,3.022096018,0,1___0,____2,0,out
29916,3,526,4,526,4,816,3,1.267,53.36161953,113.1744628,5.449094905,-35.62120674,7.678433362,29.31055795,25.74780834,21.4149642,NA,NA,NA,NA,NA,60.51067571,64.2829918,3.194396881,0,1___2,____3,0,out
